"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"1-05-2024","Controlados","7","7","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"1-05-2024","HODOM","3","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","Alta","4","11","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","Medicina","4","19","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","Pediatria","5","19","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","Mater","14","32","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","UPC UTI (4-12)","10","71","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"1-05-2024","Recuperación","3","0","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","Pediatria","2","4","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","UPC UCI (1-3)","0","12","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","Medicina","8","12","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","UPC UTI (4-12)","2","18","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","Mater","10","26","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"1-05-2024","Urgencia","216","366","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"2-05-2024","UPC UTI (4-12)","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Medicina","0","0","3","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Dental","2","2","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"2-05-2024","Pediatria","2","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Pabellón","1","7","2","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Mater","3","13","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Alta","14","35","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"2-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","19","29","1","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"2-05-2024","Urgencia","12","42","7","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"2-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","33","53","1","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
